year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2013,Acura,ILX,Base,sedan,automatic,19vde1f30de018806,NV,4.3,23689,white,black,david wilsons toyota of las vegas,17550,17500,Fri Jun 12 2015 04:55:00 GMT-0700 (PDT)
2014,Acura,ILX,Base,Sedan,automatic,19vde1f31ee008707,IL,4.2,23198,gray,black,american honda motor company,17850,18600,Thu Feb 19 2015 02:00:00 GMT-0800 (PST)
1999,Acura,Integra,LS,hatchback,automatic,jh4dc4456xs014066,FL,2.4,104039,silver,black,coral springs honda,1450,2300,Fri Jun 19 2015 02:30:00 GMT-0700 (PDT)
2001,Acura,MDX,Touring,SUV,automatic,2hnyd18811h526006,CA,1.9,180589,gold,brown,south coast toyota,2875,2400,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
2002,Acura,MDX,Touring,SUV,automatic,2hnyd18862h507596,CA,3.2,155353,black,black,bob baker jeep,3375,4000,Fri Jan 23 2015 07:00:00 GMT-0800 (PST)
2002,Acura,MDX,Base,suv,automatic,2hnyd18252h502711,CA,3.3,155561,gray,black,bob baker volkswagen subaru,3325,3500,Wed Jun 03 2015 05:15:00 GMT-0700 (PDT)
2002,Acura,MDX,Base,SUV,automatic,2hnyd18202h534644,VA,3.4,241781,black,black,pohanka acura,2275,2800,Thu Mar 05 2015 01:50:00 GMT-0800 (PST)
2003,Acura,MDX,Touring,SUV,automatic,2hnyd18633h004110,FL,2.1,152990,green,gray,autonation acura sanford,4225,3200,Tue Mar 03 2015 10:00:00 GMT-0800 (PST)
2004,Acura,MDX,Touring,SUV,automatic,2hnyd18844h532435,PA,4.3,97287,silver,black,autocelli inc,7075,8800,Fri Jan 23 2015 01:15:00 GMT-0800 (PST)
2004,Acura,MDX,Touring,SUV,automatic,2hnyd18614h553368,NC,2.9,72803,silver,gray,fred anderson toyota/scion,7925,8300,Mon Jan 12 2015 09:00:00 GMT-0800 (PST)
2005,Acura,MDX,Touring,suv,automatic,2hnyd18635h503850,NY,3.6,143612,black,black,adk auto brokers inc,5750,5700,Thu Jun 11 2015 02:45:00 GMT-0700 (PDT)
2005,Acura,MDX,Touring,suv,automatic,2hnyd18625h518744,NJ,3.6,112156,silver,black,remarketing by ge/nextgear capital,7175,7200,Wed Jun 03 2015 02:30:00 GMT-0700 (PDT)
