id,study_area,familiarity_managing_files,familiarity_running_R_console,familiarity_saving_script,familiarity_packages,familiarity_loaddata,familiarity_dataframes,familiarity_ggplot2,familiarity_pipe,adopter_group,slider_curiosity,slider_autonomy,slider_thoroughness,slider_openmind,slider_courage,slider_tenacity,slider_transparency,humans_versus_AI_control,protect_human_agency,human_accountability,societal_impact_citizenship,ethical_concerns_in_applications,systems_cause_harm,data_privacy_intellectual_property,basic_capable_limits,decision_to_use,specific_use_case,creative_uses
187150405,"Natural Sciences (e.g., biology, chemistry, physics, astronomy, environmental science, evolutionary anthropology, neruopsychology)",3,1,NA,1,NA,1,1,NA,"Non-Adopter: I avoid AI due to reservations, preferences, or lack of interest",75,95,59,75,25,90,85,3. Aquire,2. Awareness,4. Deepen,4. Deepen,5. Create,5. Create,3. Acquire,3. Acquire,2. Awareness,2. Awareness,2. Awareness
Su8274642,"Natural Sciences (e.g., biology, chemistry, physics, astronomy, environmental science, evolutionary anthropology, neruopsychology)",4,0,NA,2,NA,NA,2,NA,Aspiring Adopter: I have adopted AI into many activities and I am keen on exploring its full potential.,85,70,60,50,21,20,72,2. Awareness,2. Awareness,2. Awareness,3. Aquire,5. Create,3. Acquire,2. Awareness,3. Acquire,5. create,3. Acquire,4. Deepen
Su6073642,"Social Sciences (e.g., sociology, cultural anthropology, social psychology)",4,2,0,2,0,NA,NA,NA,Private Adopter: I have adopted AI into many activities but I am cautious about sharing details about my use.,51,90,50,59,10,76,50,2. Awareness,1. No Awareness,4. Deepen,2. Awareness,1. No Awareness,3. Acquire,4. Deepen,3. Acquire,3. Acquire,3. Acquire,2. Awareness
046627462,"Social Sciences (e.g., sociology, cultural anthropology, social psychology)",3,NA,NA,2,NA,2,1,NA,Observer: I have infrequent use and limited in the types of ways I have used it. I am monitoring AI developments before deciding to use regularly.,100,80,10,60,39,90,50,2. Awareness,3. Aquire,3. Aquire,2. Awareness,3. Acquire,4. Deepen,2. Awareness,2. Awareness,3. Acquire,2. Awareness,2. Awareness
Su0435824,"Natural Sciences (e.g., biology, chemistry, physics, astronomy, environmental science, evolutionary anthropology, neruopsychology)",4,NA,NA,NA,NA,NA,2,NA,Observer: I have infrequent use and limited in the types of ways I have used it. I am monitoring AI developments before deciding to use regularly.,100,70,40,20,21,51,78,2. Awareness,2. Awareness,1. No Awareness,5. Create,2. Awareness,3. Acquire,2. Awareness,2. Awareness,2. Awareness,2. Awareness,4. Deepen
Su6718158,"Health Sciences (e.g., medicine, nursing, pharmacy, dentistry, veterinary medicine, public health)",3,NA,2,1,0,NA,NA,NA,Observer: I have infrequent use and limited in the types of ways I have used it. I am monitoring AI developments before deciding to use regularly.,75,80,80,50,10,70,75,2. Awareness,3. Aquire,1. No Awareness,4. Deepen,3. Acquire,3. Acquire,3. Acquire,2. Awareness,1. No Awareness,3. Acquire,2. Awareness
305526159,"Social Sciences (e.g., sociology, cultural anthropology, social psychology)",2,3,2,1,NA,2,3,NA,Private Adopter: I have adopted AI into many activities but I am cautious about sharing details about my use.,75,15,71,79,50,51,50,4. Deepen,4. Deepen,4. Deepen,4. Deepen,4. Deepen,4. Deepen,4. Deepen,4. Deepen,4. Deepen,4. Deepen,4. Deepen
Su5660252,"Social Sciences (e.g., sociology, cultural anthropology, social psychology)",4,0,1,1,1,NA,4,NA,Private Adopter: I have adopted AI into many activities but I am cautious about sharing details about my use.,60,80,65,79,60,90,95,3. Aquire,1. No Awareness,2. Awareness,5. Create,4. Deepen,4. Deepen,1. No Awareness,3. Acquire,3. Acquire,4. Deepen,1. No Awareness
068771043,"Natural Sciences (e.g., biology, chemistry, physics, astronomy, environmental science, evolutionary anthropology, neruopsychology)",3,NA,NA,2,NA,NA,NA,NA,Observer: I have infrequent use and limited in the types of ways I have used it. I am monitoring AI developments before deciding to use regularly.,100,70,48,88,73,66,100,2. Awareness,2. Awareness,3. Aquire,4. Deepen,4. Deepen,4. Deepen,2. Awareness,3. Acquire,3. Acquire,4. Deepen,2. Awareness
315630950,"Natural Sciences (e.g., biology, chemistry, physics, astronomy, environmental science, evolutionary anthropology, neruopsychology)",4,NA,NA,4,NA,NA,NA,NA,"Non-Adopter: I avoid AI due to reservations, preferences, or lack of interest",90,100,40,50,80,100,80,2. Awareness,1. No Awareness,5. Create,5. Create,5. Create,5. Create,2. Awareness,2. Awareness,3. Acquire,1. No Awareness,1. No Awareness
